"SliderCrank"
"PART_4: PART/4"

"Time      "	"PART_4_XFORM.ACCX"
6.880000e-02	-1.086917e+07
6.890000e-02	-1.043358e+07
6.900000e-02	-9.996629e+06
6.910000e-02	-9.558457e+06
6.920000e-02	-9.119213e+06
6.930000e-02	-8.679049e+06
6.940000e-02	-8.238116e+06
6.950000e-02	-7.796569e+06
6.960000e-02	-7.354562e+06
6.970000e-02	-6.912255e+06
6.980000e-02	-6.469808e+06
6.990000e-02	-6.027381e+06
7.000000e-02	-5.585140e+06
7.010000e-02	-5.143248e+06
7.020000e-02	-4.701871e+06
7.030000e-02	-4.261179e+06
7.040000e-02	-3.821339e+06
7.050000e-02	-3.382522e+06
7.060000e-02	-2.944899e+06
7.070000e-02	-2.508641e+06
7.080000e-02	-2.073922e+06
7.090000e-02	-1.640914e+06
7.100000e-02	-1.209790e+06
7.110000e-02	-7.807246e+05
7.120000e-02	-3.538906e+05
7.130000e-02	7.053845e+04
7.140000e-02	4.923896e+05
7.150000e-02	9.114903e+05
7.160000e-02	1.327669e+06
7.170000e-02	1.740754e+06
7.180000e-02	2.150577e+06
7.190000e-02	2.556969e+06
7.200000e-02	2.959763e+06
7.210000e-02	3.358794e+06
7.220000e-02	3.753899e+06
7.230000e-02	4.144917e+06
7.240000e-02	4.531689e+06
7.250000e-02	4.914059e+06
7.260000e-02	5.291875e+06
7.270000e-02	5.664985e+06
7.280000e-02	6.033242e+06
7.290000e-02	6.396504e+06
7.300000e-02	6.754629e+06
7.310000e-02	7.107483e+06
7.320000e-02	7.454932e+06
7.330000e-02	7.796849e+06
7.340000e-02	8.133109e+06
7.350000e-02	8.463595e+06
7.360000e-02	8.788191e+06
7.370000e-02	9.106789e+06
7.380000e-02	9.419283e+06
7.390000e-02	9.725575e+06
7.400000e-02	1.002557e+07
7.410000e-02	1.031918e+07
7.420000e-02	1.060633e+07
7.430000e-02	1.088693e+07
7.440000e-02	1.116092e+07
7.450000e-02	1.142823e+07
7.460000e-02	1.168879e+07
7.470000e-02	1.194257e+07
7.480000e-02	1.218951e+07
7.490000e-02	1.242957e+07
7.500000e-02	1.266271e+07
7.510000e-02	1.288891e+07
7.520000e-02	1.310814e+07
7.530000e-02	1.332040e+07
7.540000e-02	1.352567e+07
7.550000e-02	1.372394e+07
7.560000e-02	1.391522e+07
7.570000e-02	1.409952e+07
7.580000e-02	1.427685e+07
7.590000e-02	1.444724e+07
7.600000e-02	1.461070e+07
7.610000e-02	1.476728e+07
7.620000e-02	1.491701e+07
7.630000e-02	1.505994e+07
7.640000e-02	1.519611e+07
7.650000e-02	1.532558e+07
7.660000e-02	1.544841e+07
7.670000e-02	1.556465e+07
7.680000e-02	1.567440e+07
7.690000e-02	1.577770e+07
7.700000e-02	1.587466e+07
7.710000e-02	1.596534e+07
7.720000e-02	1.604983e+07
7.730000e-02	1.612823e+07
7.740000e-02	1.620063e+07
7.750000e-02	1.626713e+07
7.760000e-02	1.632783e+07
7.770000e-02	1.638284e+07
7.780000e-02	1.643225e+07
7.790000e-02	1.647619e+07
7.800000e-02	1.651477e+07
7.810000e-02	1.654809e+07
7.820000e-02	1.657628e+07
7.830000e-02	1.659946e+07
7.840000e-02	1.661775e+07
7.850000e-02	1.663127e+07
7.860000e-02	1.664014e+07
7.870000e-02	1.664449e+07
7.880000e-02	1.664445e+07
7.890000e-02	1.664013e+07
7.900000e-02	1.663168e+07
7.910000e-02	1.661920e+07
7.920000e-02	1.660285e+07
7.930000e-02	1.658273e+07
7.940000e-02	1.655898e+07
7.950000e-02	1.653173e+07
7.960000e-02	1.650110e+07
7.970000e-02	1.646722e+07
7.980000e-02	1.643021e+07
7.990000e-02	1.639020e+07
8.000000e-02	1.634731e+07
8.010000e-02	1.630167e+07
8.020000e-02	1.625340e+07
8.030000e-02	1.620261e+07
8.040000e-02	1.614943e+07
8.050000e-02	1.609397e+07
8.060000e-02	1.603635e+07
8.070000e-02	1.597669e+07
8.080000e-02	1.591508e+07
8.090000e-02	1.585166e+07
8.100000e-02	1.578652e+07
8.110000e-02	1.571977e+07
8.120000e-02	1.565151e+07
8.130000e-02	1.558186e+07
8.140000e-02	1.551090e+07
8.150000e-02	1.543874e+07
8.160000e-02	1.536548e+07
8.170000e-02	1.529120e+07
8.180000e-02	1.521601e+07
8.190000e-02	1.513998e+07
8.200000e-02	1.506322e+07
8.210000e-02	1.498580e+07
8.220000e-02	1.490781e+07
8.230000e-02	1.482932e+07
8.240000e-02	1.475043e+07
8.250000e-02	1.467120e+07
8.260000e-02	1.459171e+07
8.270000e-02	1.451204e+07
8.280000e-02	1.443225e+07
8.290000e-02	1.435241e+07
8.300000e-02	1.427259e+07
8.310000e-02	1.419285e+07
8.320000e-02	1.411325e+07
8.330000e-02	1.403386e+07
8.340000e-02	1.395473e+07
8.350000e-02	1.387593e+07
8.360000e-02	1.379749e+07
