"  Pendulum"
"MEA_ANGLE_1: VARIABLE_CLASS/1"

"Time      "	"MEA_ANGLE_1.Q"
4.306000e+00	2.324244e+01
4.307000e+00	2.318401e+01
4.308000e+00	2.312536e+01
4.309000e+00	2.306650e+01
4.310000e+00	2.300741e+01
4.311000e+00	2.294810e+01
4.312000e+00	2.288857e+01
4.313000e+00	2.282883e+01
4.314000e+00	2.276886e+01
4.315000e+00	2.270868e+01
4.316000e+00	2.264828e+01
4.317000e+00	2.258767e+01
4.318000e+00	2.252684e+01
4.319000e+00	2.246579e+01
4.320000e+00	2.240453e+01
4.321000e+00	2.234306e+01
4.322000e+00	2.228137e+01
4.323000e+00	2.221947e+01
4.324000e+00	2.215735e+01
4.325000e+00	2.209503e+01
4.326000e+00	2.203249e+01
4.327000e+00	2.196974e+01
4.328000e+00	2.190679e+01
4.329000e+00	2.184362e+01
4.330000e+00	2.178024e+01
4.331000e+00	2.171666e+01
4.332000e+00	2.165287e+01
4.333000e+00	2.158886e+01
4.334000e+00	2.152466e+01
4.335000e+00	2.146024e+01
4.336000e+00	2.139563e+01
4.337000e+00	2.133080e+01
4.338000e+00	2.126577e+01
4.339000e+00	2.120054e+01
4.340000e+00	2.113511e+01
4.341000e+00	2.106947e+01
4.342000e+00	2.100363e+01
4.343000e+00	2.093759e+01
4.344000e+00	2.087135e+01
4.345000e+00	2.080491e+01
4.346000e+00	2.073826e+01
4.347000e+00	2.067142e+01
4.348000e+00	2.060438e+01
4.349000e+00	2.053715e+01
4.350000e+00	2.046971e+01
4.351000e+00	2.040208e+01
4.352000e+00	2.033426e+01
4.353000e+00	2.026624e+01
4.354000e+00	2.019802e+01
4.355000e+00	2.012961e+01
4.356000e+00	2.006101e+01
4.357000e+00	1.999221e+01
4.358000e+00	1.992322e+01
4.359000e+00	1.985404e+01
4.360000e+00	1.978467e+01
4.361000e+00	1.971511e+01
4.362000e+00	1.964536e+01
4.363000e+00	1.957542e+01
4.364000e+00	1.950530e+01
4.365000e+00	1.943498e+01
4.366000e+00	1.936448e+01
4.367000e+00	1.929379e+01
4.368000e+00	1.922292e+01
4.369000e+00	1.915186e+01
4.370000e+00	1.908062e+01
4.371000e+00	1.900919e+01
4.372000e+00	1.893758e+01
4.373000e+00	1.886579e+01
4.374000e+00	1.879381e+01
4.375000e+00	1.872166e+01
4.376000e+00	1.864932e+01
4.377000e+00	1.857681e+01
4.378000e+00	1.850411e+01
4.379000e+00	1.843124e+01
4.380000e+00	1.835819e+01
4.381000e+00	1.828497e+01
4.382000e+00	1.821156e+01
4.383000e+00	1.813798e+01
4.384000e+00	1.806423e+01
4.385000e+00	1.799030e+01
4.386000e+00	1.791620e+01
4.387000e+00	1.784193e+01
4.388000e+00	1.776748e+01
4.389000e+00	1.769286e+01
4.390000e+00	1.761807e+01
4.391000e+00	1.754312e+01
4.392000e+00	1.746799e+01
4.393000e+00	1.739269e+01
4.394000e+00	1.731723e+01
4.395000e+00	1.724159e+01
4.396000e+00	1.716580e+01
4.397000e+00	1.708983e+01
4.398000e+00	1.701370e+01
4.399000e+00	1.693741e+01
4.400000e+00	1.686095e+01
4.401000e+00	1.678433e+01
4.402000e+00	1.670755e+01
4.403000e+00	1.663060e+01
4.404000e+00	1.655350e+01
4.405000e+00	1.647623e+01
4.406000e+00	1.639881e+01
4.407000e+00	1.632123e+01
4.408000e+00	1.624349e+01
4.409000e+00	1.616559e+01
4.410000e+00	1.608753e+01
4.411000e+00	1.600932e+01
4.412000e+00	1.593096e+01
4.413000e+00	1.585244e+01
4.414000e+00	1.577376e+01
4.415000e+00	1.569494e+01
4.416000e+00	1.561596e+01
4.417000e+00	1.553683e+01
4.418000e+00	1.545755e+01
4.419000e+00	1.537812e+01
4.420000e+00	1.529855e+01
4.421000e+00	1.521882e+01
4.422000e+00	1.513895e+01
4.423000e+00	1.505892e+01
4.424000e+00	1.497876e+01
4.425000e+00	1.489845e+01
4.426000e+00	1.481799e+01
4.427000e+00	1.473739e+01
4.428000e+00	1.465665e+01
4.429000e+00	1.457576e+01
4.430000e+00	1.449473e+01
4.431000e+00	1.441357e+01
4.432000e+00	1.433226e+01
4.433000e+00	1.425081e+01
4.434000e+00	1.416923e+01
4.435000e+00	1.408751e+01
4.436000e+00	1.400565e+01
4.437000e+00	1.392365e+01
4.438000e+00	1.384152e+01
4.439000e+00	1.375926e+01
4.440000e+00	1.367686e+01
4.441000e+00	1.359433e+01
4.442000e+00	1.351167e+01
4.443000e+00	1.342887e+01
4.444000e+00	1.334595e+01
4.445000e+00	1.326290e+01
4.446000e+00	1.317971e+01
4.447000e+00	1.309640e+01
4.448000e+00	1.301296e+01
4.449000e+00	1.292940e+01
4.450000e+00	1.284571e+01
4.451000e+00	1.276189e+01
4.452000e+00	1.267795e+01
4.453000e+00	1.259389e+01
4.454000e+00	1.250970e+01
4.455000e+00	1.242539e+01
4.456000e+00	1.234097e+01
4.457000e+00	1.225642e+01
4.458000e+00	1.217175e+01
4.459000e+00	1.208696e+01
4.460000e+00	1.200206e+01
4.461000e+00	1.191704e+01
4.462000e+00	1.183190e+01
4.463000e+00	1.174665e+01
4.464000e+00	1.166128e+01
4.465000e+00	1.157580e+01
4.466000e+00	1.149021e+01
